country,location_name,latitude,longitude,timezone,last_updated_epoch,last_updated,temperature_celsius,temperature_fahrenheit,condition_text,humidity,cloud,sunrise,sunset,moonrise,moonset
Cape Verde,Praia,14.93,-23.51,Atlantic/Cape_Verde,1693301400,29/08/2023 08:30,28,82.4,Partly cloudy,74,25,6:21 am,6:48 pm,5:54 pm,4:32 am
Cambodia,Phnom Penh,11.55,104.92,Asia/Phnom_Penh,1693301400,29/08/2023 16:30,30,86,Moderate or heavy rain with thunder,75,75,5:50 am,6:12 pm,4:55 pm,3:42 am
Cameroon,Bafoussam,5.47,10.42,Africa/Douala,1693301400,29/08/2023 10:30,23.9,75,Patchy rain possible,78,89,6:12 am,6:26 pm,5:18 pm,4:28 am
Canada,Ottawa,45.42,-75.7,America/Toronto,1693301400,29/08/2023 05:30,11,51.8,Clear,100,0,6:20 am,7:46 pm,7:33 pm,3:54 am
Central African Republic,Bangui,4.37,18.58,Africa/Bangui,1693301400,29/08/2023 10:30,26.3,79.3,Partly cloudy,80,39,5:41 am,5:53 pm,4:42 pm,3:56 am
Chad,N'djamena,12.11,15.05,Africa/Douala,1693301400,29/08/2023 10:30,32,89.6,Sunny,67,0,5:49 am,6:12 pm,5:09 pm,3:56 am
Chile,Santiago,-33.45,-70.67,America/Santiago,1693301400,29/08/2023 05:30,5,41,Clear,87,0,7:05 am,6:23 pm,4:50 pm,6:19 am
China,Beijing,39.93,116.39,Asia/Shanghai,1693301400,29/08/2023 17:30,28,82.4,Sunny,37,0,5:39 am,6:52 pm,6:09 pm,2:41 am
Bulgaria,Bogot,43.32,24.7,Europe/Sofia,1693301400,29/08/2023 12:30,36.4,97.5,Sunny,17,4,6:41 am,8:02 pm,7:36 pm,3:57 am
Comoros,Moroni,-11.7,43.24,Indian/Comoro,1693301400,29/08/2023 12:30,24,75.2,Partly cloudy,83,75,6:12 am,6:04 pm,4:33 pm,4:42 am
Congo,Brazzaville,-4.26,15.28,Africa/Brazzaville,1693301400,29/08/2023 10:30,31.1,88,Partly cloudy,51,62,5:59 am,6:00 pm,4:42 pm,4:25 am
Costa Rica,San Juan,9.97,-84.08,America/Costa_Rica,1693301400,29/08/2023 03:30,21,69.8,Clear,94,0,5:28 am,5:47 pm,4:57 pm,3:55 am
Croatia,Zagreb,45.8,16,Europe/Zagreb,1693301400,29/08/2023 11:30,23,73.4,Partly cloudy,69,25,6:13 am,7:41 pm,7:19 pm,3:24 am
Cuba,Havana,23.13,-82.36,America/Havana,1693301400,29/08/2023 05:30,26,78.8,Partly cloudy,100,75,7:11 am,7:50 pm,7:11 pm,5:23 am
Cyprus,Nicosia,35.17,33.37,Asia/Nicosia,1693301400,29/08/2023 12:30,35,95,Partly cloudy,35,25,6:16 am,7:18 pm,6:38 pm,3:47 am
Czech Republic,Prague,50.08,14.47,Europe/Prague,1693301400,29/08/2023 11:30,13,55.4,Overcast,94,100,6:12 am,7:54 pm,7:42 pm,3:10 am
Democratic Republic of Congo,Kinshasa,-4.3,15.3,Africa/Brazzaville,1693301400,29/08/2023 10:30,31.1,88,Partly cloudy,50,60,5:59 am,6:00 pm,4:42 pm,4:25 am
Denmark,Copenhagen,55.67,12.58,Europe/Copenhagen,1693301400,29/08/2023 11:30,17,62.6,Sunny,72,0,6:08 am,8:12 pm,8:16 pm,2:42 am
Djibouti,Djibouti,11.6,43.15,Africa/Djibouti,1693301400,29/08/2023 12:30,42,107.6,Mist,29,25,5:57 am,6:19 pm,5:12 pm,4:00 am
Dominica,Roseau,15.3,-61.4,America/Dominica,1693301400,29/08/2023 05:30,28.2,82.8,Light rain shower,79,62,5:53 am,6:20 pm,5:31 pm,4:10 am
Dominican Republic,Santo Domingo,18.47,-69.9,America/Santo_Domingo,1693301400,29/08/2023 05:30,26,78.8,Partly cloudy,94,25,6:24 am,6:56 pm,6:11 pm,4:40 am
Ecuador,Quito,-0.22,-78.5,America/Guayaquil,1693301400,29/08/2023 04:30,8.9,48,Clear,62,6,6:12 am,6:18 pm,5:19 pm,4:48 am
Egypt,Cairo,30.05,31.25,Africa/Cairo,1693301400,29/08/2023 12:30,31,87.8,Partly cloudy,46,50,6:30 am,7:22 pm,6:35 pm,4:10 am
El Salvador,San Salvador,13.71,-89.2,America/El_Salvador,1693301400,29/08/2023 03:30,26,78.8,Light rain,94,50,5:45 am,6:10 pm,5:24 pm,4:09 am
Equatorial Guinea,Malabo,3.75,8.78,Africa/Malabo,1693301400,29/08/2023 10:30,25.9,78.6,Light rain shower,81,87,6:20 am,6:31 pm,5:22 pm,4:38 am
Eritrea,Asmara,15.33,38.93,Africa/Asmara,1693301400,29/08/2023 12:30,25.1,77.2,Patchy rain possible,34,87,6:11 am,6:39 pm,5:35 pm,4:10 am
Estonia,Tallinn,59.43,24.73,Europe/Tallinn,1693301400,29/08/2023 12:30,19,66.2,Partly cloudy,73,50,6:09 am,8:33 pm,8:51 pm,2:15 am
Swaziland,Mbabane,-26.32,31.13,Africa/Mbabane,1693301400,29/08/2023 11:30,20,68,Sunny,49,0,6:12 am,5:42 pm,3:57 pm,5:02 am
Ethiopia,Addis Ababa,9.03,38.7,Africa/Addis_Ababa,1693301400,29/08/2023 12:30,17,62.6,Partly cloudy,83,50,6:17 am,6:35 pm,5:26 pm,4:23 am
Fiji Islands,Suva,-18.13,178.42,Pacific/Fiji,1693301400,29/08/2023 21:30,24,75.2,Partly cloudy,78,75,6:17 am,5:59 pm,3:56 pm,4:33 am
Finland,Helsinki,60.18,24.93,Europe/Helsinki,1693301400,29/08/2023 12:30,20,68,Partly cloudy,64,50,6:06 am,8:34 pm,8:56 pm,2:06 am
France,Paris,48.87,2.33,Europe/Paris,1693301400,29/08/2023 11:30,18,64.4,Partly cloudy,64,25,7:03 am,8:40 pm,8:26 pm,4:07 am
Gabon,Libreville,0.38,9.45,Africa/Libreville,1693301400,29/08/2023 10:30,27,80.6,Light rain shower,74,56,6:19 am,6:27 pm,5:14 pm,4:41 am
Gambia,Banjul,13.45,-16.58,Africa/Banjul,1693301400,29/08/2023 09:30,27,80.6,Partly cloudy,94,75,6:55 am,7:20 pm,6:22 pm,5:06 am
Georgia,Tbilisi,41.73,44.79,Asia/Tbilisi,1693301400,29/08/2023 13:30,30,86,Sunny,43,0,6:23 am,7:40 pm,7:09 pm,3:38 am
Germany,Berlin,52.52,13.4,Europe/Berlin,1693301400,29/08/2023 11:30,16,60.8,Light rain,82,75,6:11 am,8:02 pm,7:56 pm,3:01 am
Ghana,Accra,5.55,-0.22,Africa/Accra,1693301400,29/08/2023 09:30,26,78.8,Overcast,89,100,5:55 am,6:09 pm,5:02 pm,4:12 am
Greece,Athens,37.98,23.72,Europe/Athens,1693301400,29/08/2023 12:30,32,89.6,Partly cloudy,26,25,6:52 am,8:00 pm,7:25 pm,4:19 am
Grenada,Saint George's,12.05,-61.75,America/Grenada,1693301400,29/08/2023 05:30,26,78.8,Partly cloudy,94,50,5:57 am,6:19 pm,5:28 pm,4:17 am
Guatemala,Guatemala City,14.62,-90.53,America/Guatemala,1693301400,29/08/2023 03:30,17,62.6,Mist,96,57,5:50 am,6:16 pm,5:31 pm,4:13 am
Guinea,Conakry,9.51,-13.71,Africa/Conakry,1693301400,29/08/2023 09:30,25,77,Partly cloudy,100,75,6:46 am,7:06 pm,6:04 pm,5:01 am
Guinea-Bissau,Bissau,11.85,-15.58,Africa/Bissau,1693301400,29/08/2023 09:30,28,82.4,Light rain,84,50,6:52 am,7:15 pm,6:15 pm,5:05 am
Guyana,Georgetown,6.8,-58.17,America/Guyana,1693301400,29/08/2023 05:30,24,75.2,Mist,100,75,5:46 am,6:01 pm,5:05 pm,4:12 am
Haiti,Port-Au-Prince,18.54,-72.34,America/Port-au-Prince,1693301400,29/08/2023 05:30,27,80.6,Clear,89,0,6:34 am,7:06 pm,6:21 pm,4:50 am
Vatican City,Vatican City,41.9,12.45,Europe/Rome,1693301400,29/08/2023 11:30,21,69.8,Moderate rain,88,50,6:32 am,7:50 pm,7:22 pm,3:54 am
Honduras,Tegucigalpa,14.1,-87.22,America/Tegucigalpa,1693301400,29/08/2023 03:30,21,69.8,Partly cloudy,88,75,5:37 am,6:02 pm,5:16 pm,4:00 am
Hungary,Budapest,47.5,19.08,Europe/Budapest,1693301400,29/08/2023 11:30,20,68,Light rain shower,88,75,5:58 am,7:31 pm,7:13 pm,3:03 am
Iceland,Hella,63.83,-20.4,Atlantic/Reykjavik,1693301400,29/08/2023 09:30,11,51.8,Sunny,82,0,5:56 am,8:48 pm,9:30 pm,1:26 am
India,New Delhi,28.6,77.2,Asia/Kolkata,1693301400,29/08/2023 15:00,34,93.2,Mist,50,50,5:58 am,6:46 pm,5:52 pm,3:31 am
Indonesia,Jakarta,-6.21,106.85,Asia/Jakarta,1693301400,29/08/2023 16:30,31,87.8,Partly cloudy,63,25,5:55 am,5:53 pm,4:16 pm,4:07 am
Iran,Tehran,35.73,51.33,Asia/Tehran,1693301400,29/08/2023 13:00,33,91.4,Partly cloudy,15,25,5:34 am,6:37 pm,5:55 pm,3:00 am
Iraq,Baghdad,33.34,44.39,Asia/Baghdad,1693301400,29/08/2023 12:30,37,98.6,Sunny,24,0,5:35 am,6:32 pm,5:48 pm,3:06 am
Ireland,Dublin,53.33,-6.25,Europe/Dublin,1693301400,29/08/2023 10:30,14,57.2,Partly cloudy,88,75,6:28 am,8:22 pm,8:20 pm,3:20 am
Israel,Jerusalem,31.78,35.23,Asia/Jerusalem,1693301400,29/08/2023 12:30,30,86,Partly cloudy,62,50,6:12 am,7:07 pm,6:22 pm,3:49 am
Italy,Rome,41.9,12.48,Europe/Rome,1693301400,29/08/2023 11:30,21,69.8,Moderate rain,88,50,6:32 am,7:49 pm,7:22 pm,3:54 am
Jamaica,Norman Gardens,17.97,-76.75,America/Jamaica,1693301400,29/08/2023 04:30,30,86,Partly cloudy,84,25,5:52 am,6:23 pm,5:39 pm,4:09 am
Japan,Tokyo,35.69,139.69,Asia/Tokyo,1693301400,29/08/2023 18:30,32,89.6,Partly cloudy,59,25,5:11 am,6:14 pm,5:22 pm,2:17 am
Jordan,Amman,31.95,35.93,Asia/Amman,1693301400,29/08/2023 12:30,27,80.6,Partly cloudy,51,50,6:09 am,7:05 pm,6:19 pm,3:45 am
Kazakhstan,Astana,51.18,71.43,Asia/Almaty,1693301400,29/08/2023 15:30,22,71.6,Partly cloudy,29,37,6:22 am,8:08 pm,7:54 pm,3:01 am
Kenya,Nairobi,-1.28,36.82,Africa/Nairobi,1693301400,29/08/2023 12:30,21,69.8,Partly cloudy,43,75,6:31 am,6:36 pm,5:17 pm,4:50 am
Kiribati,Tarawa,-0.88,169.53,Pacific/Tarawa,1693301400,29/08/2023 21:30,28.9,84,Light rain shower,77,51,6:40 am,6:46 pm,5:04 pm,4:35 am
Kuwait,Kuwait City,29.37,47.96,Asia/Kuwait,1693301400,29/08/2023 12:30,39.6,103.3,Sunny,23,0,5:24 am,6:14 pm,5:25 pm,3:01 am
Kyrghyzstan,Bishkek,42.87,74.6,Asia/Bishkek,1693301400,29/08/2023 15:30,27.4,81.3,Sunny,20,19,6:22 am,7:43 pm,7:10 pm,3:28 am
Indonesia,Laos,-8.18,114.32,Asia/Jakarta,1693301400,29/08/2023 16:30,27.9,82.2,Sunny,60,4,5:26 am,5:22 pm,3:42 pm,3:40 am
Latvia,Riga,56.95,24.1,Europe/Riga,1693301400,29/08/2023 12:30,16,60.8,Light rain,94,0,6:19 am,8:29 pm,8:37 pm,2:42 am
Lebanon,Beirut,33.87,35.51,Asia/Beirut,1693302300,29/08/2023 12:45,30,86,Partly cloudy,62,75,6:09 am,7:08 pm,6:26 pm,3:42 am
Lesotho,Maseru,-29.32,27.48,Africa/Johannesburg,1693302300,29/08/2023 11:45,18.9,66,Sunny,15,0,6:29 am,5:54 pm,4:06 pm,5:24 am
Liberia,Monrovia,6.31,-10.8,Africa/Monrovia,1693302300,29/08/2023 09:45,25,77,Partly cloudy,94,75,6:36 am,6:52 pm,5:47 pm,4:55 am
Thailand,Nan,18.78,100.78,Asia/Bangkok,1693302300,29/08/2023 16:45,33,91.4,Partly cloudy,63,25,6:01 am,6:34 pm,5:25 pm,3:44 am
Liechtenstein,Vaduz,47.13,9.52,Europe/Vaduz,1693302300,29/08/2023 11:45,12,53.6,Light rain,100,75,6:36 am,8:08 pm,7:51 pm,3:45 am
Lithuania,Vilnius,54.68,25.32,Europe/Vilnius,1693301400,29/08/2023 12:30,17,62.6,Moderate or heavy rain with thunder,94,75,6:19 am,8:19 pm,8:19 pm,2:55 am
Luxembourg,Luxembourg,49.61,6.13,Europe/Luxembourg,1693302300,29/08/2023 11:45,16,60.8,Partly cloudy,77,25,6:46 am,8:26 pm,8:13 pm,3:48 am
Madagascar,Antananarivo,-18.92,47.52,Indian/Antananarivo,1693302300,29/08/2023 12:45,21,69.8,Partly cloudy,56,75,6:01 am,5:42 pm,4:02 pm,4:38 am
Malawi,Lilongwe,-13.98,33.78,Africa/Blantyre,1693302300,29/08/2023 11:45,18,64.4,Partly cloudy,88,25,5:52 am,5:40 pm,4:09 pm,4:25 am
Malaysia,Kuala Lumpur,3.17,101.7,Asia/Kuala_Lumpur,1693302300,29/08/2023 17:45,27,80.6,Moderate or heavy rain with thunder,89,25,7:09 am,7:20 pm,5:54 pm,5:11 am
Maldives,Farukolhufunadhoo,6.15,73.27,Indian/Maldives,1693301400,29/08/2023 14:30,25.3,77.5,Torrential rain shower,87,100,6:01 am,6:15 pm,4:57 pm,4:04 am
Mali,Bamako,12.65,-8,Africa/Bamako,1693302300,29/08/2023 09:45,23,73.4,Light rain,100,25,6:21 am,6:45 pm,5:46 pm,4:31 am
Malta,Valletta,35.9,14.51,Europe/Malta,1693301400,29/08/2023 11:30,28,82.4,Partly cloudy,42,25,6:31 am,7:34 pm,6:57 pm,4:04 am
Marshall Islands,Majuro,7.1,171.38,Pacific/Majuro,1693302300,29/08/2023 21:45,29,84.2,Overcast,75,100,6:27 am,6:44 pm,5:11 pm,4:12 am
Mauritania,Nouakchott,18.09,-15.98,Africa/Nouakchott,1693302300,29/08/2023 09:45,28.6,83.5,Sunny,70,11,6:49 am,7:21 pm,6:27 pm,4:55 am
Mauritius,Port Louis,-20.16,57.5,Indian/Mauritius,1693301400,29/08/2023 13:30,26,78.8,Partly cloudy,70,75,6:21 am,6:01 pm,4:18 pm,4:59 am
Mexico,Mexico City,19.43,-99.13,America/Mexico_City,1693302300,29/08/2023 03:45,16,60.8,Partly cloudy,77,50,6:20 am,6:54 pm,6:14 pm,4:40 am
Micronesia,Palikir,6.92,158.15,Pacific/Pohnpei,1693302300,29/08/2023 20:45,26,78.8,Light rain,100,100,6:20 am,6:36 pm,5:05 pm,4:08 am
Russia,Chi-Chi-Erh,51.7,94.45,Asia/Krasnoyarsk,1693302300,29/08/2023 16:45,36.5,97.7,Overcast,12,98,5:49 am,7:37 pm,7:23 pm,2:20 am
Monaco,Monaco,43.73,7.42,Europe/Monaco,1693302300,29/08/2023 11:45,22,71.6,Partly cloudy,73,50,6:50 am,8:12 pm,7:48 pm,4:08 am
Mongolia,Ulaanbaatar,47.92,106.92,Asia/Ulaanbaatar,1693301400,29/08/2023 17:30,26,78.8,Partly cloudy,32,25,6:05 am,7:41 pm,7:16 pm,2:48 am
Montenegro,Podgorica,42.44,19.26,Europe/Podgorica,1693302300,29/08/2023 11:45,25,77,Partly cloudy,65,50,6:04 am,7:23 pm,6:55 pm,3:23 am
Morocco,Rabat,34.03,-6.84,Africa/Casablanca,1693301400,29/08/2023 10:30,24,75.2,Sunny,78,0,6:59 am,7:58 pm,7:21 pm,4:40 am
Mozambique,Maputo,-25.97,32.59,Africa/Maputo,1693302300,29/08/2023 11:45,21,69.8,Partly cloudy,64,75,6:06 am,5:36 pm,3:52 pm,4:55 am
Myanmar,Pathein,16.78,94.73,Asia/Yangon,1693302300,29/08/2023 16:15,30,86,Partly cloudy,68,62,5:57 am,6:27 pm,5:17 pm,3:44 am
Namibia,Windhoek,-22.57,17.08,Africa/Windhoek,1693302300,29/08/2023 11:45,20,68,Sunny,43,0,7:05 am,6:41 pm,5:03 pm,5:52 am
Turkey,Yaren,39.55,27.62,Europe/Istanbul,1693302300,29/08/2023 12:45,28,82.4,Sunny,55,0,6:34 am,7:46 pm,7:13 pm,3:58 am
Nepal,Kathmandu,27.72,85.32,Asia/Kathmandu,1693302300,29/08/2023 15:30,28,82.4,Partly cloudy,58,75,5:41 am,6:28 pm,5:32 pm,3:14 am
Netherlands,Amsterdam,52.37,4.89,Europe/Amsterdam,1693301400,29/08/2023 11:30,19,66.2,Partly cloudy,73,25,6:46 am,8:36 pm,8:30 pm,3:38 am
New Zealand,Wellington,-41.3,174.78,Pacific/Auckland,1693301400,29/08/2023 21:30,9,48.2,Clear,81,0,6:52 am,5:53 pm,3:13 pm,5:51 am
Nicaragua,Managua,12.15,-86.27,America/Managua,1693302300,29/08/2023 03:45,25,77,Partly cloudy,100,25,5:35 am,5:57 pm,5:09 pm,4:00 am
Niger,Niamey,13.52,2.12,Africa/Niamey,1693302300,29/08/2023 10:45,30,86,Sunny,62,0,6:40 am,7:05 pm,6:05 pm,4:48 am
Nigeria,Abuja,9.18,7.18,Africa/Lagos,1693302300,29/08/2023 10:45,28,82.4,Partly cloudy,74,50,6:23 am,6:42 pm,5:37 pm,4:34 am
North Korea,Pyongyang,39.02,125.75,Asia/Pyongyang,1693302300,29/08/2023 18:45,22,71.6,Patchy rain possible,88,83,6:02 am,7:13 pm,6:28 pm,3:05 am
Macedonia,Skopje,42,21.43,Europe/Skopje,1693301400,29/08/2023 11:30,30,86,Partly cloudy,43,25,5:56 am,7:14 pm,6:45 pm,3:16 am
Norway,Oslo,59.92,10.75,Europe/Oslo,1693301400,29/08/2023 11:30,12,53.6,Moderate rain,94,75,6:04 am,8:30 pm,8:51 pm,2:10 am
Oman,Muscat,23.61,58.59,Asia/Muscat,1693302300,29/08/2023 13:45,33,91.4,Sunny,80,0,5:47 am,6:27 pm,5:29 pm,3:31 am
Pakistan,Islamabad,33.7,73.17,Asia/Karachi,1693302300,29/08/2023 14:45,31.9,89.4,Sunny,45,13,5:39 am,6:37 pm,5:51 pm,3:04 am
Palau,Adkip,7.36,134.51,Pacific/Palau,1693302300,29/08/2023 18:45,29,84.2,Partly cloudy,84,75,5:55 am,6:11 pm,4:44 pm,3:46 am
Bolivia,National,-11.18,-67.08,America/La_Paz,1693302300,29/08/2023 05:45,22.5,72.5,Clear,57,16,6:33 am,6:25 pm,5:15 pm,5:20 am
Panama,Panama City,8.97,-79.53,America/Panama,1693301400,29/08/2023 04:30,27,80.6,Partly cloudy,89,75,6:10 am,6:28 pm,5:37 pm,4:37 am
Papua New Guinea,Port Moresby,-9.46,147.19,Pacific/Port_Moresby,1693302300,29/08/2023 19:45,24.4,75.9,Clear,80,22,6:15 am,6:09 pm,4:22 pm,4:25 am
Paraguay,Carreria,-21.55,-58.12,America/Asuncion,1693302300,29/08/2023 05:45,22.8,73,Overcast,40,99,6:05 am,5:43 pm,4:20 pm,5:02 am
Peru,Lima,-12.05,-77.05,America/Lima,1693301400,29/08/2023 04:30,16.2,61.2,Partly cloudy,86,58,6:14 am,6:05 pm,4:55 pm,5:03 am
Philippines,Manila,14.6,120.98,Asia/Manila,1693302300,29/08/2023 17:45,27,80.6,Light rain,89,100,5:44 am,6:10 pm,4:53 pm,3:28 am
Poland,Warsaw,52.25,21,Europe/Warsaw,1693302300,29/08/2023 11:45,22,71.6,Partly cloudy,83,75,5:42 am,7:32 pm,7:25 pm,2:29 am
Portugal,Lisbon,38.72,-9.13,Europe/Lisbon,1693301400,29/08/2023 10:30,21,69.8,Partly cloudy,69,25,7:03 am,8:12 pm,7:42 pm,4:36 am
Qatar,Doha,25.29,51.53,Asia/Qatar,1693302300,29/08/2023 12:45,38,100.4,Sunny,54,0,5:13 am,5:56 pm,5:01 pm,2:56 am
Romania,Bucharest,44.43,26.1,Europe/Bucharest,1693301400,29/08/2023 12:30,35,95,Sunny,32,0,6:34 am,7:58 pm,7:34 pm,3:47 am
Russia,Moscow,55.75,37.62,Europe/Moscow,1693301400,29/08/2023 12:30,16,60.8,Partly cloudy,68,75,5:28 am,7:33 pm,7:35 pm,1:55 am
Rwanda,Kigali,-1.95,30.06,Africa/Kigali,1693302300,29/08/2023 11:45,26,78.8,Partly cloudy,34,50,5:59 am,6:03 pm,4:44 pm,4:19 am
Saint Kitts and Nevis,Basseterre,17.3,-62.72,America/St_Kitts,1693302300,29/08/2023 05:45,28,82.4,Clear,84,0,5:57 am,6:27 pm,5:40 pm,4:12 am
Saint Lucia,Castries,14,-61,America/St_Lucia,1693302300,29/08/2023 05:45,27,80.6,Partly cloudy,89,50,5:52 am,6:17 pm,5:28 pm,4:11 am
Saint Vincent and the Grenadines,Kingstown,13.13,-61.22,America/St_Vincent,1693302300,29/08/2023 05:45,28.8,83.8,Patchy rain possible,78,82,5:54 am,6:18 pm,5:27 pm,4:13 am
Samoa,Apia,-13.83,-171.73,Pacific/Apia,1693302300,29/08/2023 22:45,26,78.8,Partly cloudy,84,75,6:34 am,6:22 pm,4:22 pm,4:43 am
San Marino,San Marino,43.93,12.45,Europe/Rome,1693302300,29/08/2023 11:45,21,69.8,Partly cloudy,64,50,6:29 am,7:52 pm,7:28 pm,3:46 am
Belgium,'S-Gravenwezel,51.27,4.55,Europe/Brussels,1693302300,29/08/2023 11:45,17,62.6,Partly cloudy,77,25,6:49 am,8:35 pm,8:27 pm,3:46 am
Saudi Arabia,Riyadh,24.64,46.77,Asia/Riyadh,1693301400,29/08/2023 12:30,42,107.6,Sunny,6,0,5:33 am,6:15 pm,5:20 pm,3:18 am
Senegal,Dakar,14.67,-17.44,Africa/Dakar,1693302300,29/08/2023 09:45,27,80.6,Partly cloudy,89,50,6:57 am,7:24 pm,6:28 pm,5:07 am
Serbia,Belgrade,44.8,20.47,Europe/Belgrade,1693301400,29/08/2023 11:30,24,75.2,Partly cloudy,65,25,5:56 am,7:21 pm,6:58 pm,3:09 am
Seychelles Islands,Victoria,-4.62,55.45,Indian/Mahe,1693301400,29/08/2023 13:30,26.3,79.3,Light rain shower,85,96,6:19 am,6:19 pm,4:54 pm,4:38 am
Sierra Leone,Freetown,8.49,-13.23,Africa/Freetown,1693302300,29/08/2023 09:45,24,75.2,Partly cloudy,100,75,6:45 am,7:03 pm,6:01 pm,5:01 am
